Year,Candidate,Party,ElectoralVotes,PopularVotes
1976,Jimmy Carter,Democratic,297,"40830763"
1976,Gerald R. Ford,Republican,240,"39147973"
1980,Ronald Reagan,Republican,489,"43899248"
1980,Jimmy Carter,Democratic,49,"36481435"
1984,Ronald Reagan,Republican,525,"54455075"
1984,Walter F. Mondale,Democratic,13,"37577185"
1988,George H. Bush,Republican,426,"48886097"
1988,Michael S. Dukakis,Democratic,111,"41809074"
1992,William J. Clinton,Democratic,370,"44909889"
1992,George H. Bush,Republican,168,"39104545"
1996,William J. Clinton,Democratic,379,"47402357"
1996,Robert J. Dole,Republican,159,"39198755"
2000,George W. Bush,Republican,271,"50456002"
2000,Albert A. Gore,Democratic,266,"50999897"
2004,George W. Bush,Republican,286,"62028285"
2004,John F. Kerry,Democratic,251,"59028109"
2008,Barack Obama,Democratic,365,"66862039"
2008,John McCain,Republican,173,"58319442"
2012,Barack Obama,Democratic,332,"62616535"
2012,Mitt Romney,Republican,206,"59090075"
2016,Donald Trump,Republican,306,"62979636"
2016,Hillary Clinton,Democratic,232,"65844610"